Day,Event Number,Event Name,Event ID
Day 1,1,womens100im,2
Day 1,2,womens100breast,14
Day 1,3,mens200back,26
Day 1,4,mens100breast,18
Day 1,5,mens100fly,25
Day 1,6,womens500free,10
Day 1,7,mens200free,21
Day 1,8,mens200breast,22
Day 1,9,mens1000free,32
Day 1,10,womens100fly,7
Day 1,11,mens100free,19
Day 1,12,womens200im,1
Day 1,13,womens50back,4
Day 1,14,mens200im,17
Day 1,15,womens200fly,13
Day 1,16,mens50breast,28
Day 1,17,mens200fly,20
Day 2,1,mens400IM,27
Day 2,2,mens100i,23
Day 2,3,womens200free,8
Day 2,4,womens400IM,12
Day 2,5,womens50breast,15
Day 2,6,womens200back,0
Day 2,7,mens50back,31
Day 2,8,womens1000free,9
Day 2,9,mens50Free,30
Day 2,10,mens50fly,33
Day 2,11,mens500free,29
Day 2,12,womens50fly,5
Day 2,13,womens100back,3
Day 2,14,womens50free,11
Day 2,15,womens200breast,16
Day 2,16,mens100back,24
Day 2,17,womens100free,6
